Giro empresa,Empresa Exportadora,País destino,Producto
ALIMENTO PARA ANIMALES,NESTLÉ PURINA S.A DE C.V (CUAUTITLÁN),PANAMÁ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"EFFEM MÉXICO, INC Y COMPAÑÍA S. EN N.C. DE C.V. (QUÉRETARO)",PANAMÁ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"EFFEM MÉXICO, INC Y COMPAÑÍA S. EN N.C. DE C.V. (JALISCO)",PANAMÁ,ALIMENTO PARA CONSUMO ANIMAL
LÁCTEOS PASTEURIZADOS ,"INDUSTRIAS LÁCTEAS DE VALLEJO, S. DE R.L. DE C.V.",COLOMBIA,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"KERRY INGREDIENTS DE MÉXICO, S.A. DE C.V. (IRAPUATO)",COLOMBIA,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (COATEPEC)",COLOMBIA,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,PRODUCTOS LONEG S.A. DE C.V.,COLOMBIA,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,NUTRICAL S.A. DE C.V.,COLOMBIA,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"ILAS MÉXICO, S.A. DE C.V.",COLOMBIA,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"DERIVADOS DE LECHE LA ESMERALDA, S.A. DE C.V.",COSTA RICA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"INDUSTRIAS LÁCTEAS DE VALLEJO, S. DE R.L. DE C.V.",COSTA RICA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (COATEPEC)",COSTA RICA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (OCOTLÁN)",COSTA RICA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"KERRY INGREDIENTS DE MÉXICO, S.A. DE C.V. (IRAPUATO)",COSTA RICA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,MEAD JOHNSON NUTRICIONALES S. DE R.L. DE C. V. ,COSTA RICA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (QUERÉTARO CARNATION)",COSTA RICA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (LAGOS DE MORENO)",COSTA RICA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"SIGMA ALIMENTOS LACTEOS, S.A. DE C.V. (PLANTA LAGOS)",COSTA RICA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"COMERCIALIZADORA DE LACTEOS Y DERIVADOS, S.A. DE C.V. (AGUASCALIENTES)",CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"GANADEROS PRODUCTORES DE LECHE PURA, S.A.P.I. DE C.V. (CUAUTITLAN)",CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"GANADEROS PRODUCTORES DE LECHE PURA, S.A.P.I. DE C.V. (DELICIAS)",CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (LAGOS DE MORENO)",CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (OCOTLÁN)",CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (COATEPEC)",CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (QUERÉTARO CARNATION)",CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (CHIAPA DE CORZO)",CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"DERIVADOS DE LECHE LA ESMERALDA, S.A. DE C.V.",CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"COMPAÑÍA MANUFACTURERA ASTURIAS, S.A. DE C.V.",CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"ILAS MÉXICO, S.A. DE C.V.",CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"CREMERÍA AMERICANA, S.A. DE C.V.",CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,NATURAL DE ALIMENTOS S.A DE C.V,CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,ALIMENTOS BENEFITS S.A. DE C.V.,CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"PROLACNI, S.A. DE C.V.",CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"CON ALIMENTOS, S.A. DE C.V.",CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"NESTLÉ MÉXICO, S.A. DE C.V. (QUERÉTARO GERBER)",CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"MEXICANA DE INDUSTRIAS Y MARCAS, S.A. DE C.V.",CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"GRUPO INDUSTRIAL CUADRITOS BIOTEK, S.A. DE C.V.",CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,DERIVADOS LACTEOS EL SABINO,CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,PASTEURIZADORA MAULEC. S.A. DE C.V.,CUBA ,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,TERBIUM INDUSTRIAL S.A. DE C.V.,CHILE,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"DERIVADOS DE LECHE LA ESMERALDA, S.A. DE C.V.",CHILE,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"ILAS MÉXICO, S.A. DE C.V.",CHILE,CONSUMO HUMANO 
LÁCTEOS PASTEURIZADOS ,"MONDELEZ DE MÉXICO, S. DE R.L. DE C.V",CHILE,CONSUMO HUMANO 
